Policy,Workload,IPC,MPKI
log_003_conflict_aware_aging_replacement__caar_milc_409B.trace,milc_409B,0.363581,380.514
log_001_chronoentropy_lbm_564B.trace,lbm_564B,0.594799,446.778
log_001_chronoentropy_astar_313B.trace,astar_313B,0.115179,799.2522007477992
log_000_entropy_guided_adaptive_aging__egaa_mcf_250B.trace,mcf_250B,0.0708014,832.8330000000001
log_002_temporal_marginality_predictor_with_aging_and_reuse_quantization__t_map_mcf_250B.trace,mcf_250B,0.0682003,892.435
log_003_conflict_aware_aging_replacement__caar_omnetpp_17B.trace,omnetpp_17B,0.453863,51.932
log_002_temporal_marginality_predictor_with_aging_and_reuse_quantization__t_map_omnetpp_17B.trace,omnetpp_17B,0.44007,86.164
log_000_entropy_guided_adaptive_aging__egaa_lbm_564B.trace,lbm_564B,0.536049,295.979
log_001_chronoentropy_mcf_250B.trace,mcf_250B,0.0718652,842.779
log_003_conflict_aware_aging_replacement__caar_mcf_250B.trace,mcf_250B,0.0706325,838.055
log_002_temporal_marginality_predictor_with_aging_and_reuse_quantization__t_map_milc_409B.trace,milc_409B,0.363082,374.56899999999996
log_001_decayed_adaptive_counting__dac_astar_313B.trace,astar_313B,0.112766,720.9442790557209
DESCRIPTION,unknown,,
log_002_temporal_marginality_predictor_with_aging_and_reuse_quantization__t_map_astar_313B.trace,astar_313B,0.103948,621.2563787436213
log_001_decayed_adaptive_counting__dac_omnetpp_17B.trace,omnetpp_17B,0.461672,36.811
CHANGELOG,unknown,,
log_002_temporal_marginality_predictor_with_aging_and_reuse_quantization__t_map_lbm_564B.trace,lbm_564B,0.536816,295.978
log_001_chronoentropy_milc_409B.trace,milc_409B,0.401258,516.849
log_003_conflict_aware_aging_replacement__caar_astar_313B.trace,astar_313B,0.104525,614.1443858556141
README,ls,,
log_001_decayed_adaptive_counting__dac_milc_409B.trace,milc_409B,0.372798,498.907
log_000_entropy_guided_adaptive_aging__egaa_astar_313B.trace,astar_313B,0.104074,614.3553856446143
log_000_entropy_guided_adaptive_aging__egaa_omnetpp_17B.trace,omnetpp_17B,0.448372,61.862
log_001_decayed_adaptive_counting__dac_mcf_250B.trace,mcf_250B,0.0768045,753.0360000000001
log_001_chronoentropy_omnetpp_17B.trace,omnetpp_17B,0.468449,24.379
log_001_decayed_adaptive_counting__dac_lbm_564B.trace,lbm_564B,0.54471,393.743
log_000_entropy_guided_adaptive_aging__egaa_milc_409B.trace,milc_409B,0.361354,374.514
log_003_conflict_aware_aging_replacement__caar_lbm_564B.trace,lbm_564B,0.532855,298.454
